experiment,experiment_label,primary_metric,model,optimizer,seed,accuracy_test,balanced_accuracy_test,mcc_test,f1_test,auc_roc_test,auc_pr_test,reported_metric
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,ga,1,0.6102257636122178,0.609416040525848,0.2196497344698825,0.630119722747322,0.6435414686429707,0.6329064268076613,0.6102257636122178
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,ga,2,0.6132138114209827,0.6124371745703392,0.2256491604610363,0.6323761438939729,0.6432018419236105,0.634049559406753,0.6132138114209827
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,ga,3,0.6088977423638778,0.6080747355212057,0.2169829436765734,0.6290931989924433,0.6470027942016456,0.6371984791766678,0.6088977423638778
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,gwo,1,0.6049136786188579,0.6042171052776668,0.2090058138388161,0.6229404309252218,0.6435191944230647,0.6361708377279557,0.6049136786188579
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,gwo,2,0.5956175298804781,0.5948023879728034,0.1903132232281594,0.6162570888468809,0.6338607839202186,0.6270058325379266,0.5956175298804781
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,gwo,3,0.6065737051792829,0.605756231819495,0.212315363539297,0.6267716535433071,0.6424817891712005,0.6338510778409853,0.6065737051792829
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,pso,1,0.600929614873838,0.6001676079913727,0.2009916041258582,0.6203411244472521,0.6361534848127312,0.6262432216238764,0.600929614873838
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,pso,2,0.6079017264276229,0.6071742836412395,0.2149924143386221,0.6263840556785827,0.6393892011935454,0.6311391496401564,0.6079017264276229
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,pso,3,0.6042496679946879,0.6033865635730495,0.2076468791248819,0.6253928346951603,0.6372561689664983,0.628310035891289,0.6042496679946879
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,random_search,1,0.6069057104913679,0.6061203381270689,0.2129841130571701,0.6264984227129338,0.6381533127940031,0.6265668316752107,0.6069057104913679
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,random_search,2,0.600597609561753,0.5998035016837987,0.2003177095162451,0.6206244087038789,0.6365705199596858,0.6286276383182384,0.600597609561753
