experiment,experiment_label,model,optimizer,n,reported_metric_mean,reported_metric_std,accuracy_mean,accuracy_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_pr_mean
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,de,3,0.6505090748118637,0.0018878621192155824,0.6505090748118637,0.0018878621192155824,0.30068794761853285,0.00387796333990993,0.6582952242956535,0.0015559218077844717,0.694101521924669,0.6741719408829768
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,ga,3,0.6489597166888004,0.0011659643374117542,0.6489597166888004,0.0011659643374117542,0.29747572133783035,0.0024392916235874275,0.6587717880870775,0.0013121218553799351,0.6925988574721922,0.6727687158463801
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,gwo,3,0.6515050907481186,0.00106724776018071,0.6515050907481186,0.00106724776018071,0.30276263957050914,0.0020862744423381136,0.6579753126751083,0.001712360275700277,0.6948838395756284,0.676393405317912
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,pso,3,0.6495130588756086,0.0035500254387661485,0.6495130588756086,0.0035500254387661485,0.298685050141207,0.007236094894071315,0.6574419372649284,0.0013112575056489317,0.6937381507398643,0.6739299481454633
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,random_search,3,0.648406374501992,0.0011501001378279388,0.648406374501992,0.0011501001378279388,0.2963422354115927,0.0022979866706883006,0.658565459641901,0.0019634436265239916,0.6929126078700775,0.6734390483936555
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,de,3,0.6050243470562195,0.0013417834941325975,0.6050243470562195,0.0013417834941325975,0.20921307854146617,0.0026841858690227977,0.6248994710376325,0.0029194106442687667,0.6443200371678072,0.6356465823808716
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,ga,3,0.6081230633023461,0.003550025438766129,0.6081230633023461,0.003550025438766129,0.21544261410041057,0.007104103115213936,0.6268955610541428,0.004972523639672504,0.6421766397097147,0.6325950297129976
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,gwo,3,0.6077910579902612,0.002259913441418993,0.6077910579902612,0.002259913441418993,0.21476815170223895,0.004539205292605252,0.6289764113375828,0.0020606595149154435,0.6449195297860719,0.6359114714256663
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,pso,3,0.603585657370518,0.00033200531208499307,0.603585657370518,0.00033200531208499307,0.20632129332341057,0.0006774765700818248,0.6235779829760227,0.0012274649811056138,0.6399777404825493,0.6317154950571354
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,random_search,3,0.6081230633023461,0.0008355283792906847,0.6081230633023461,0.0008355283792906847,0.2154272260361736,0.0016783644220332932,0.6283973729378052,0.000857674714895772,0.6425264111232897,0.6334889580901363
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,de,3,0.6103364320495794,0.052501297974325796,0.6103364320495794,0.052501297974325796,0.22048444829433697,0.10646069256054493,0.6453673323127364,0.04322664575454953,0.6516061329822387,0.6422887502648209
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,ga,3,0.6093404161133246,0.02216575808480642,0.6093404161133246,0.02216575808480642,0.2184841235836187,0.04464012660722057,0.6423586120118748,0.017870653224773943,0.6457785942541334,0.6329370756685401
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,gwo,3,0.5637450199203187,0.00917080167127041,0.5637450199203187,0.00917080167127041,0.12653029104134658,0.019071152785598688,0.6103252087551181,0.014010556655326585,0.5900615077220971,0.5859939808907041
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,pso,3,0.5667330677290837,0.008057543890778026,0.5667330677290837,0.008057543890778026,0.1323188849789189,0.01629758737054977,0.6100332226851369,0.004993368815117991,0.5910684788913173,0.5877162969388738
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,random_search,3,0.5944001770694998,0.004792083907616427,0.5944001770694998,0.004792083907616427,0.18866147198086822,0.009792414983930544,0.6330809033101268,0.005369984966102657,0.6243798320538522,0.6115373906947322
