experiment,experiment_label,model,optimizer,seed,budget,best_fitness_at_budget,progress_to_final_at_budget,runtime_minutes_at_budget
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,2,500,0.425883087402316,0.9786141353545328,0.7594472068499893
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,2,1000,0.4267058061482445,1.0,1.5435185180499913
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,3,50,0.4254592227101547,0.9485701979364797,0.09620924806666643
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,3,100,0.4273150346305418,0.9757268848734413,0.1992713799166627
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,3,250,0.4273150346305418,0.9757268848734413,0.4424685142999842
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,3,500,0.4281958847471513,0.9886166451947135,0.8351236949166545
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,3,1000,0.428973791330185,1.0,1.6731557936833281
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,1,50,0.4231988391222799,0.5252320331228724,0.12450224039999987
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,1,100,0.4314591787761906,0.8349586884991163,0.22995713643333318
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,1,250,0.4314591787761906,0.8349586884991163,0.5264532509666661
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,1,500,0.4358607931230995,1.0,1.0172116073499993
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,1,1000,0.4358607931230995,1.0,2.076960044916667
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,2,50,0.4243062314506217,0.8350251452906089,0.11855671359999934
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,2,100,0.4303102017483366,0.9336840776719816,0.2297390303666683
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,2,250,0.4303102017483366,0.9336840776719816,0.529659173950001
