experiment,experiment_label,model,optimizer,seed,first_fitness,best_fitness,total_evaluations,total_runtime_minutes,eval_to_95pct_final,time_to_95pct_final_minutes,auc_progress
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,de,3,0.653971851703281,0.6551153148727613,1000,5.298916619267887,486,3.059521220133562,0.8978160469557808
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,ga,1,0.635485085706105,0.6546576921636319,1000,16.423207023842647,4,0.03621539956693596,0.9856634483718634
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,ga,2,0.6536690643424938,0.6544366689424059,1000,4.87331514227529,242,1.4124209779957406,0.9489812850402903
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,ga,3,0.6516173481303764,0.6545544963741732,1000,8.384574631832583,418,2.5967061392252315,0.8620117429206939
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,gwo,1,0.6444071192002516,0.6560081227709708,1000,7.6575664430838515,560,4.3223602721822925,0.9344895906305708
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,gwo,2,0.5073946430416049,0.6555803489534976,1000,4.635656791283205,2,0.015620888133344123,0.9969078745664749
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,gwo,3,0.653971851703281,0.6548866658505238,1000,5.120338610566372,8,0.054708816533093334,0.9934934934934935
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,pso,1,0.6444071192002516,0.6557501443036001,1000,6.518158386169186,339,1.9837625399024543,0.9472017729465932
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,pso,2,0.5073946430416049,0.6548497596296469,1000,6.02703395898158,2,0.01584465729999162,0.9983732149194933
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,pso,3,0.653971851703281,0.6548866658505238,1000,6.131433561630911,8,0.0581423763497393,0.9934934934934935
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,random_search,1,0.635485085706105,0.6559051156401046,1000,8.17022394886626,370,2.954462845815942,0.9729063638196209
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,random_search,2,0.6536690643424938,0.6545253274314633,1000,7.953469337800925,1000,7.953469337800925,0.8405186485315699
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,random_search,3,0.6516173481303764,0.655145281408788,1000,7.949511252265074,764,6.048594054498972,0.8694232391265654
exp3_cv_accuracy,Exp 3 - CV + Accuracy,mlp,de,1,0.6558683625540274,0.660082290664614,1000,2.8528947333688692,54,0.18378971018332774,0.9654277269579042
exp3_cv_accuracy,Exp 3 - CV + Accuracy,mlp,de,2,0.6231019855883282,0.6606874990565649,1000,2.06451154216852,82,0.21698198475002445,0.9836688042751783
exp3_cv_accuracy,Exp 3 - CV + Accuracy,mlp,de,3,0.6407835534302454,0.6609899200991202,1000,3.3346978308333437,265,1.2345571940833602,0.9621499848677518
exp3_cv_accuracy,Exp 3 - CV + Accuracy,mlp,ga,1,0.6562297867510339,0.659307501333251,1000,4.267629702447136,19,0.1043079070166944,0.9933228611176506
exp3_cv_accuracy,Exp 3 - CV + Accuracy,mlp,ga,2,0.6224966582799969,0.6598312727275965,1000,1.890311699567958,9,0.040747433283316536,0.9674779739071167
exp3_cv_accuracy,Exp 3 - CV + Accuracy,mlp,ga,3,0.5024525571142396,0.6604290795310249,1000,2.8316971327676876,4,0.02903846554999442,0.9873124152030331
exp3_cv_accuracy,Exp 3 - CV + Accuracy,mlp,gwo,1,0.6558683625540274,0.6628868046210763,1000,2.9652241393333036,829,2.5482447074500967,0.6722414601835793
